Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:22:04 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:22:09 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:22:14 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:22:20 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:22:25 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:22:30 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:22:35 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:22:40 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:22:46 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:22:51 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:22:56 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:01 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:06 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:12 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:17 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:22 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:27 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:32 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:38 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:43 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:48 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:53 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:23:58 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:24:04 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:24:09 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:24:14 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:24:19 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:24:25 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:24:30 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:24:35 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:24:40 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:24:45 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:24:51 PM, Temp C: 21.0625, TempF: 69.9125
12/9/2025 9:24:56 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:02 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:07 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:12 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:17 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:23 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:28 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:33 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:38 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:43 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:49 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:54 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:25:59 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:26:04 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:26:09 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:26:15 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:26:20 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:26:25 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:26:30 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:26:36 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:26:41 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:26:46 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:26:51 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:26:57 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:27:02 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:27:07 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:27:12 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:27:17 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:27:23 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:27:28 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:27:33 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:27:38 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:27:44 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:27:49 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:27:54 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:28:00 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:28:05 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:28:10 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:28:15 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:28:20 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:28:26 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:28:31 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:28:36 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:28:41 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:28:46 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:28:52 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:28:57 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:02 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:07 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:12 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:18 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:23 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:28 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:33 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:39 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:44 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:49 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:54 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:29:59 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:30:05 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:30:10 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:30:15 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:30:20 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:30:25 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:30:31 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:30:36 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:30:41 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:30:46 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:30:51 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:30:57 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:02 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:07 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:12 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:17 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:23 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:28 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:33 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:38 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:44 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:49 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:54 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:31:59 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:32:04 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:32:10 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:32:15 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:32:20 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:32:25 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:32:30 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:32:36 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:32:41 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:32:46 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:32:51 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:32:56 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:02 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:07 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:12 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:17 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:22 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:28 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:33 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:38 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:43 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:48 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:54 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:33:59 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:34:04 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:34:09 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:34:14 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:34:20 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:34:25 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:34:30 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:34:35 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:34:41 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:34:46 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:34:51 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:34:56 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:01 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:07 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:12 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:17 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:22 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:27 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:33 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:38 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:43 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:48 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:53 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:35:59 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:36:04 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:36:09 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:36:14 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:36:20 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:36:25 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:36:30 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:36:35 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:36:40 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:36:46 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:36:51 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:36:56 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:37:01 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:37:07 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:37:12 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:37:17 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:37:22 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:37:27 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:37:33 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:37:38 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:37:43 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:37:48 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:37:53 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:37:59 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:38:04 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:38:09 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:38:14 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:38:19 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:38:25 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:38:30 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:38:35 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:38:40 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:38:46 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:38:51 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:38:56 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:39:01 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:39:06 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:39:12 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:39:17 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:39:22 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:39:27 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:39:32 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:39:38 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:39:43 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:39:48 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:39:53 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:39:59 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:40:04 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:40:09 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:40:14 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:40:19 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:40:25 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:40:30 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:40:35 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:40:40 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:40:45 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:40:51 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:40:56 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:41:01 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:41:06 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:41:12 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:41:17 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:41:22 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:41:27 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:41:32 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:41:38 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:41:43 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:41:48 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:41:53 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:41:59 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:42:04 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:42:09 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:42:14 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:42:19 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:42:25 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:42:30 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:42:35 PM, Temp C: 21.1875, TempF: 70.1375
12/9/2025 9:42:40 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:42:46 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:42:51 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:42:56 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:01 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:06 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:12 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:17 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:22 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:27 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:32 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:38 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:43 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:48 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:53 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:43:58 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:44:04 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:44:09 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:44:14 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:44:19 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:44:24 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:44:30 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:44:35 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:44:40 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:44:45 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:44:50 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:44:56 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:01 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:06 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:11 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:17 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:22 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:27 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:32 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:37 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:43 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:48 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:53 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:45:58 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:46:03 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:46:09 PM, Temp C: 21.125, TempF: 70.025
12/9/2025 9:46:14 PM, Temp C: 21.125, TempF: 70.025
